query,passage
"Je,Sarah Wayne Callies ana mume?","Mnamo Juni 21, 2002, Callies alifunga ndoa na Josh Winterhalt, aliyekutana nae katika chuo cha Dartmouth. Winterhalt ni mwalimu wa sanaa. Ilipofika Januari 23, 2007, msemaje wake alitangaza kuwa wawili hao walikuwa wanatarajia kupata mtoto wao wa kwanza. Julai 2007, Callies na mume wake walimkaribisha mtoto wao wa kike, Keala Winterhalt(Kay-AH-lah).[2][3]"
"Je,Thiago Silva alianza kucheza soka mwaka upi?","Kama kijana, Silva aliingizwa kwenye shule iliyo jirani ya Campo Grande ya Rio - kwa usawa shule ya kulisha kwa Fluminense. Alipokuwa na umri wa miaka 14, Silva alimvutia kocha wa Fluminense Maurinho wakati wa mchezo wa kirafiki huko Xerém. Alipewa jaribio fupi, ambapo alipewa nafasi ya kiungo wa kujihami. Silva alipewa fursa ya kucheza alipokuwa mdogo. Mwaka wa 1999, akiwa na umri wa miaka 15, Silva aliulizwa Madureira, Olaria na Flamengo; alikataliwa katika kila klabu, jaribio la Flamengo likiwa gumu sana kwa sababu hata hakukuwa na mafunzo ya makocha."
Dalili kuu ya Mmenyuko wa mzio  ni ipi?,"Mmenyuko kali ya mzio husababishwa na mwitikio wa mwili karibu kwa dutu yoyote ya kigeni.[11] Vichochezi vya kawaida ni pamoja na sumu kutoka kuumwa na wadudu au miiba, vyakula, na dawa.[10][12] Vyakula ni vichochezi vya kawaida kwa watoto na vijana. Madawa na kuumwa na wadudu na miiba ni vichochezi zaidi vya kawaida katika watu wazima. [5] Vyanzo vya chini ni pamoja na mambo ya kimwili, mawakala wa kibaiolojia (kama vile shahawa), mpira, mabadiliko ya homoni, vioungio vya chakula (kama vile monosodium glutamate na rangi ya chakula), na madawa ambayo hutumiwa kwa ngozi (madawa ya wakati).[8] Mazoezi au halijoto (mojawapo ya joto au baridi) inaweza pia kuchochea anaphylaxis kwa kusababisha tishu fulani za chembe (zinazojulikana kama chembe nguzo) kutoa kemikali ambazo huanzisha mmenyuko mzio.[5][13] Anaphylaxis inayonasababishwa na mazoezi mara nyingi pia inahusishwa na kula baadhi ya vyakula.[4] Kama mmenyuko kali ya mzio hutokea wakati mtu anapokea unusukaputi, chanzo cha kawaida ni baadhi ya madawa ambayo mtu hupewa kuzalisha kupooza (neuromuscular kuzuia mawakala) kiuavijasumu, na mpira.[14] Katika asilimia 32-50 ya matukio, chanzo hakijulikani (idiopathic anaphylaxis).[15]"
"Je,nchi ya Tanzania ina majimbo ngapi?",Kuna majimbo 214 Tanzania Bara na majimbo 50 Zanzibar.
Rhodesia ina ukubwa gani?,"Jamhuri ya Zimbabwe Republic of Zimbabwe, Africa (Bendera ya Zimbabwe)(Nembo ya Zimbabwe)Kaulimbiu ya Taifa Unity, Freedom, Work (Kiingereza: Umoja, Uhuru, Kazi) "" | Wimbo wa TaifaLugha rasmiKiingereza na 15 nyingineMji MkuuHarareMji mkubwaHarareRaisEmmerson MnangagwaEneo - Jumla -Maji -Eneo kadiriwakm² 390,757 1% ya 60 dunianiUmma - Kadiriwa - Sensa, - Msongamano wa watu13,061,239 ya 66 duniani (2012) ; 32/km² ; ya dunianiChumo cha uchumi - Jumla - kwa kipimo cha umma$24.99 billion (Orotha ya nchi GDP (kidogo)) $2,100 (Orodha ya nchi kulingana na GDP kwa umma)Uhuru - Kadirifu - Barabara(kama Rhodesia) 11 Novemba 1965 (kama Zimbabwe) 18 Aprili 1980FedhaDolar ya Marekani|Saa za EneoUTC +2Intaneti TLD.zwkodi za simu263"
"Je,mwanzilishi wa chama cha ODM kilizinduliwa lini?","Orange Democratic Movement (ODM) (jina kamili: Orange Democratic Movement Party of Kenya ni chama cha kisiasa nchini Kenya. Kilianzishwa mwaka 2006 katika maandalizi ya uchaguzi wa bunge la Kenya wa mwaka 2007, lakini asili yake ni harakati za kura juu ya katiba mpya nchini Kenya ambayo ilianzishwa mwaka 2005 kwa ajili ya kura ya maoni ya katiba ya Kenya."
Kitabu cha Takadini  kilitolewa kwa mara ya kwanza katika nchi gani?,"Takadini ni kitabu kilichoandikwa na Ben J. Hanson, mmojawapo miongoni mwa waandishi mashuhuri katika nchi za Afrika. Kilitolewa mara ya kwanza huko Harare (Zimbabwe) mwaka 1997."
Vita vya Sudan Kusini vilianza mwaka gani?,"Wakati wa uhuru wa Sudan mwaka 1956 viongozi wa kusini walidai haki ya kujitawala ndani ya taifa jipya, lakini mapatano yalishindikana na hali hiyo ilisababishwa kutokea kwa vita ya Anyanya kati ya 1956 na 1972."
Fidla iligunduliwa nchini gani kwanza?,"Fidla (kutoka Kiingereza fiddle; pia: violini, kutoka jina la Kiitalia violino) ni ala ya muziki yenye nyuzi. Idadi ya nyuzi ni 4 zinazopigwa au zaidi kuchuliwa kwa uta. Nyuzi zinawekwa kwa kawaida kwa noti za G, D, A na E."
Lucas Vázquez Iglesias ana miaka mingapi?,Lucas Vázquez Iglesias (aliyezaliwa 1 Julai 1991) ni mchezaji wa soka wa Hispania ambaye anachezea klabu ya Real Madrid na timu ya taifa ya Hispania kama winga wa kulia.
Kuna kundinyota ngapi?,Mwanzo wa karne ya 20 mpangilio wa kundinyota haukuridhisha kwa sababu sehemu za mipaka kati ya kundinyota hazikueleweka vema. Hivyo mkutano mkuu wa kwanza wa Umoja wa Kimataifa wa Astronomia (IAU) mwaka 1922 kufafanua idadi ya kundinyota kuwa 88[2]. Mwanaastronomia Eugène Delporte kutoka Ubelgiji alipewa kazi ya kupanga eneo lote la anga kwa makundi na kuchora mipaka kati ya kundinyota. Tokeo la kazi yake lilikubaliwa kwenye mkutano mkuu wa mwaka 1928.
Rosetta ilizinduliwa na nani?,Rosetta ni chombo cha angani cha Mamlaka ya Ulaya ya Usafiri wa Anga. Mwaka 2004 Kilirushwa kutoka kituo cha angani Kourou kwa roketi ya Ariane 5 kwa kusudi la kufikia nyotamkia ya 67P/Churyumov–Gerasimenko.
"Je,Samwel Yellah alizaliwa mwaka upi?",Samwel Yellah (amezaliwa 29 Mei 1993 mjini Mbeya) [1] ni mkufunzi wa soka wa timu ya kandanda ya Costa mwaka 2008 na sasa ni meneja wa klabu ya Black Leopard Fc Under20
"Je,Wade Andrew William ana watoto wangapi?","Williams na dada zake watatu walizaliwa Georgia, na baadae wakahamia Tulsa, Oklahoma. Kama kijana, Williams alijihusisha sana na maigizo na muziki, akianzia kanisani lakini hakuipa kipaumbele sanaa ya uigizaji kama ndio msingi wa maisha yake. Baada ya kumaliza elimu ya juu, Williams alipanga kufanya maandalizi ya kujiunga na masomo ya uganga katika chuo cha Tulsa (Tulsa University). Mapenzi yake kwenye uigizaji na muziki kamwe hayakufifia na akabadilisha masomo. Williams alipata shahada katika sanaa ya maonesho na baadae akapata shahada ya pili katika sanaa ya uigizaji kutoka chuo cha Rutgers (Mason Gross School of the Arts) alipokuwa akisoma chini ya William Esper. Williams anaishi Texas akiwa na mkewe pamoja na binti yao. Kipindi akiwa chuo cha alikuwa nyota kwenye igizo Sweet Todd."
"Je, Edward Moss alizaliwa lini?","Edward Moss (amezaliwa tar. 11 Julai 1977) ni mwigizaji wa filamu na mchekeshaji kutoka nchini Marekani. Anafahamika zaidi kwa kuigiza na kucheza kama hayati Michael Jackson kwenye filamu na vipindi vya TV.[1][2] Awali alikuwa anafanya katika kampuni ya McDonald's mwanzoni mwa miaka ya 1990, ambapo wafanyakazi wenzake walikuwa wakimwambia kama anafanana sana na mwimbaji Michael Jackson; hivyo basi Moss akaingia katika shindano la kutafuta watu wenye vipaji na kubahatika kushinda, na kadiri muda unavyokwenda, ameamua kujitafutia riziki yake kwa kujifanya kama Jackson."
Twiga anaishi kwa muda gani?,"Twiga hubeba mimba kwa siku 400 mpaka 460 ambapo mara nyingi huzaa ndama mmoja hatimaye japo mapacha hutokea mara kadhaa. Mama hujifungua akiwa amesimama na kende lake hukatika mtoto aangukapo ardhini. Ndama akizaliwa huwa na urefu wa mita 1.8. Baada ya masaa kadhaa, mama huweza kukimbia japo ndani ya wiki mbili za mwanzo ndama hutumia muda mwingi kujilaza chini huku akilindwa na mama yake. Ndama huyo huwa hatamaniwi kuwindwa na simba, chui, fisi au mbwa mwitu. Ni asilimia 25–50 tu ya twiga ndiyo hufikia kuwa wakubwa. Twiga hukadiriwa kuishi miaka 20–25 mwituni na miaka 28 wakifugwa nje ya mbuga."
"Je,nani alizindua jina la Altdeutscher Schäferhund?",Mbwa Mchungaji wa Kijerumani wa Zamani German: Altdeutscher Schäferhund ni jina lililotumiwa kuashiria mbwa wasiozaa wachungaji wanaotumika nchini Ujerumani baada ya uzunduzi wa Mbwa wa Mchungaji wa Kijerumani na Max von Stephanitz mwaka wa 1899. Tamko hili sasa linatumika kuashiria mbwa ambao wana uhusiano wa damu na mbwa hawa lakini huzalishwa kwa ajili ya kiwango cha kazi na si kiwango rasmi;Mbwa huyu hatambuliki hii haitambuliki na FCI lakini ana kiwango chake mwenyewe. [1]
Kulungu pembe-nne ana urefu gani?,"Kulungu pembe-nne ni mnyama mdogo wa spishi Tetracerus quadricornis katika familia Bovidae, anayefanana na kulungu na kuishi msituni wazi kwa Uhindi na Nepal. Huyo ndiye mnyama pekee katika jenasi Tetracerus. Akiwa na kimo cha sm 55–64 tu mabegani, huyo ni mnyama mdogo kabisa katika familia Bovidae huko Asia (suni wa Afrika ni wadogo zaidi). Madume wa spishi hiyo ndio wa pekee miongoni mwa mamalia wote kwa kuwa wana pembe nne za kudumu."
"Je,Mbosso alizaliwa mwaka upi?","Mbwana Yusuph Kilungi (amezaliwa 3 Oktoba,1991) ni jina la mwimbaji, mtunzi na mwanamuziki maarufu kutoka nchini Tanzania - ambaye anajulikana kwa jina lake la kisanii kama Mbosso. Umaarufu ulianza kujulikana akiwa na kundi zima la Yamoto Band ambalo ndani yake kuliwa na Aslay, Beka Flavour, Enock Bella na Mbosso. Kwa pamoja walikuwa wanaunda Yamoto Band chini ya Mkubwa Fella na Wanawe. Jina la Mkubwa na Wanawe lilikuwa na hadi sasa bado lipo hivyo hivyo kama Mkubwa na Wanawe. Ndani ya mkubwa na Wanawe kuna vipaji mbalimbali."
"Je,Howard Winchel Koch alianza utayarishaji filamu lini?","Alizaliwa mjini New York City, alihitimua katika shule ya Peddie School mjini Hightstown, New Jersey. Alianza shughuli za filamu akiwa kama mwajiriwa katika ofisi Universal Studios huko mjini New York halafu baadaye akaanza kutengeneza filamu za Hollywood kwa mara ya kwanza mnamo mwaka wa 1947 akiwa kama mwongozaji msaidizi. Alifanya kazi kama mtayarishaji kwa mara ya kwanza mnamo mwaka wa 1953 na mwaka mmoja baadaye akaanza kuongoza filamu kwa mara ya kwanza. Mnamo mwaka wa 1964, Paramount Pictures wakamchagua kuwa kama mkuu wa kitengo cha utayarishaji wa filamu, nafasi ambayo aliishikiria hadi hapo kunako mwaka wa 1966 pale alipoanzisha kampuni yake mwenyewe ya utayarishaji."
"Je,Oliver N'Goma alizaliwa mwaka upi?","Oliver N'Goma (23 Machi 1959 – 7 Juni 2010) alikuwa mpiga gitaa na mwimbaji wa muziki wa Afro-zouk na reggae kutoka nchini Gabon. Alipewa jina la utani la ""Noli,"" alizaliwa mjini Mayumba huko mjini kusini-mwagharibi mwa nchi ya Gabon mnamo mwaka wa 1959. Alifahamika sana kwa kibao chake cha mwaka wa 1989 Bane, ambacho kilivumishwa sana na Radio Africa N.1 na Gilles Obringer."
Edward Moss alizaliwa wapi?,"Edward Moss (amezaliwa tar. 11 Julai 1977) ni mwigizaji wa filamu na mchekeshaji kutoka nchini Marekani. Anafahamika zaidi kwa kuigiza na kucheza kama hayati Michael Jackson kwenye filamu na vipindi vya TV.[1][2] Awali alikuwa anafanya katika kampuni ya McDonald's mwanzoni mwa miaka ya 1990, ambapo wafanyakazi wenzake walikuwa wakimwambia kama anafanana sana na mwimbaji Michael Jackson; hivyo basi Moss akaingia katika shindano la kutafuta watu wenye vipaji na kubahatika kushinda, na kadiri muda unavyokwenda, ameamua kujitafutia riziki yake kwa kujifanya kama Jackson."
